route_id,agency_id,route_short_name,route_long_name,route_type
7480574,0,336,Trotro 336 : Abeka Lapaz → Alhaji,3
7480603,0,336,Trotro 336 : Alhaji → Abeka Lapaz,3
7480775,0,338,Trotro 338 : Abeka Lapaz → Lomnava,3
7480897,0,338,Trotro 338 : Lomnava → Abeka Lapaz,3
7480923,0,348,Trotro 348 : Abeka Lapaz → Tetteh Quarshie,3
7480992,0,348,Trotro 348 : Tetteh Quarshie → Abeka Lapaz,3
7481021,0,385,Trotro 385 : Accra New Town → 37,3
7481044,0,349,Trotro 349 : Abeka Lapaz → Yellow House,3
7481099,0,385,Trotro 385 : 37 → Accra New Town,3
7481118,0,349,Trotro 349 : Yellow House → Abeka Lapaz,3
7481244,0,380,Trotro 380 : Abeka Lapaz → Haatso,3
7481384,0,380,Trotro 380 : Haatso → Abeka Lapaz,3
7481499,0,378,Trotro 378 : Abeka Lapaz → Awoshie,3
7481510,0,378,Trotro 378 : Awoshie → Abeka Lapaz,3
7481598,0,369,Trotro 369 : Accra New Tema Station → Agbogbloshie,3
7481930,0,369,Trotro 369 : Agbogbloshie → Accra New Tema Station,3
7482055,0,344,Trotro 344 : Abeka Lapaz → Santa Maria,3
7482123,0,344,Trotro 344 : Santa Maria → Abeka Lapaz,3
7482333,0,343,Trotro 343 : Abeka Lapaz → Race Course,3
7482394,0,343,Trotro 343 : Race Course → Abeka Lapaz,3
7482996,0,339,Trotro 339 : Abeka Lapaz → Madina,3
7483083,0,339,Trotro 339 : Madina → Abeka Lapaz,3
7484395,0,333,Trotro 333 : Abeka Lapaz → Adenta,3
7484459,0,333,Trotro 333 : Adenta → Abeka Lapaz,3
7484622,0,326,Trotro 326 : Kwashieman Junction → Sowutuom,3
7484676,0,326,Trotro 326 : Sowutuom → Kwashieman Junction,3
7484705,0,324,Trotro 324 : Kwashieman Junction → Antie Aku,3
7484796,0,324,Trotro 324 : Antie Aku → Kwashieman Junction,3
7485090,0,322,Trotro 322 : Kwashieman Junction → Accra CMB,3
7485198,0,322,Trotro 322 : Accra CMB → Kwashieman Junction,3
