shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
9085564,-17.4022092,-66.1566669,297
9085564,-17.4022321,-66.157327,298
9085564,-17.4022321,-66.157327,299
9085564,-17.4021346,-66.1573377,300
9085564,-17.4015643,-66.1574144,301
9085564,-17.4015643,-66.1574144,302
9085564,-17.4011383,-66.1574614,303
9085564,-17.4009863,-66.1574786,304
9085564,-17.4009863,-66.1574786,305
9085564,-17.4009417,-66.1574843,306
9085564,-17.3996977,-66.1576275,307
9085564,-17.3995669,-66.1576328,308
9085564,-17.3994821,-66.1576362,309
9085564,-17.3994821,-66.1576362,310
9085564,-17.3993655,-66.1576356,311
9085564,-17.3993655,-66.1576356,312
9085564,-17.399322,-66.1576364,313
9085564,-17.3993118,-66.157638,314
9085564,-17.3992052,-66.1576443,315
9085564,-17.3989051,-66.1576879,316
9085564,-17.3989051,-66.1576879,317
9085564,-17.3978437,-66.1578716,318
9085564,-17.3977786,-66.1578813,319
9085564,-17.3977786,-66.1578813,320
9085564,-17.39773,-66.1578893,321
9085564,-17.3967547,-66.1580315,322
9085564,-17.3967006,-66.1580388,323
9085564,-17.3967006,-66.1580388,324
9085564,-17.3966561,-66.1580448,325
9085564,-17.3958044,-66.1581681,326
9085564,-17.3956991,-66.1581878,327
9085564,-17.3956551,-66.1581946,328
9085564,-17.3956551,-66.1581946,329
9085564,-17.3956153,-66.1582007,330
9085564,-17.3946561,-66.1583705,331
9085564,-17.3946085,-66.1583789,332
9085564,-17.3946085,-66.1583789,333
9085564,-17.3945259,-66.1583955,334
9085564,-17.3936167,-66.1585778,335
9085564,-17.3935676,-66.1585844,336
9085564,-17.3935676,-66.1585844,337
9085564,-17.3934997,-66.1585979,338
9085564,-17.3926949,-66.1587574,339
9085564,-17.3926319,-66.1587699,340
9085564,-17.3926319,-66.1587699,341
9085564,-17.3925424,-66.1587863,342
9085564,-17.3925424,-66.1587863,343
9085564,-17.3924909,-66.1587963,344
9085564,-17.3915018,-66.1590109,345
9085564,-17.3914589,-66.1590212,346
9085564,-17.3914589,-66.1590212,347
9085564,-17.3913971,-66.15903,348
9085564,-17.3910664,-66.1590921,349
9085564,-17.3907499,-66.1591597,350
9085564,-17.3904938,-66.159212,351
9085564,-17.3904435,-66.1592215,352
9085564,-17.3904435,-66.1592215,353
9085564,-17.3903878,-66.1592319,354
9085564,-17.390026,-66.1592972,355
9085564,-17.3897118,-66.1593538,356
9085564,-17.389585,-66.1593767,357
9085564,-17.3893848,-66.1594141,358
9085564,-17.3893303,-66.1594248,359
9085564,-17.3893303,-66.1594248,360
9085564,-17.3892731,-66.1594381,361
9085564,-17.3889593,-66.1595045,362
9085564,-17.3887739,-66.1595438,363
9085564,-17.3887023,-66.1595597,364
9085564,-17.388391,-66.1596289,365
9085564,-17.3882855,-66.1596533,366
9085564,-17.3882855,-66.1596533,367
9085564,-17.3882378,-66.159665,368
9085564,-17.3882378,-66.159665,369
9085564,-17.3882185,-66.1596699,370
9085564,-17.3873411,-66.1598506,371
9085564,-17.3873411,-66.1598506,372
9085564,-17.3872827,-66.1598618,373
9085564,-17.3866825,-66.1599769,374
9085564,-17.386168,-66.1600755,375
9085564,-17.3861089,-66.1600869,376
9085564,-17.3861089,-66.1600869,377
9085564,-17.3860628,-66.1600949,378
9085564,-17.3856534,-66.1601659,379
9085564,-17.3855719,-66.16018,380
9085564,-17.3852112,-66.1602426,381
9085564,-17.3850427,-66.1602719,382
9085564,-17.3848807,-66.1603,383
9085564,-17.3843568,-66.1603909,384
9085564,-17.3843175,-66.1603977,385
9085564,-17.3843175,-66.1603977,386
9085564,-17.3840424,-66.1604492,387
9085564,-17.3840424,-66.1604492,388
9085564,-17.3839763,-66.160463,389
9085564,-17.3836826,-66.1605182,390
9085564,-17.3836826,-66.1605182,391
9085564,-17.3832271,-66.1606066,392
9085564,-17.3832271,-66.1606066,393
9085564,-17.3831709,-66.1605757,394
9085564,-17.3830654,-66.1605935,395
9085564,-17.3827553,-66.1606577,396
9085564,-17.3827553,-66.1606577,397
9085564,-17.382733,-66.1606576,398
9085564,-17.3827051,-66.1606517,399
9085564,-17.3826896,-66.1606472,400
9085564,-17.3826692,-66.1606299,401
9085564,-17.3826384,-66.1605553,402
9085564,-17.3825549,-66.1602907,403
9085564,-17.3825414,-66.1602326,404
9085564,-17.3825381,-66.1601784,405
9085564,-17.3825477,-66.1601273,406
9085564,-17.3825477,-66.1601273,407
9085564,-17.3825716,-66.1600761,408
9085564,-17.3826541,-66.1599431,409
9085564,-17.3826609,-66.159933,410
9085564,-17.382735,-66.1598231,411
9085564,-17.3827727,-66.1597851,412
9085564,-17.3828281,-66.1597408,413
9085564,-17.3828926,-66.1596927,414
9085564,-17.3829035,-66.1596846,415
9085564,-17.3829447,-66.1596135,416
9085564,-17.3829447,-66.1596135,417
9085564,-17.3830911,-66.1595022,418
9085564,-17.3830911,-66.1595022,419
9085564,-17.3833062,-66.1593386,420
9085564,-17.383356,-66.1593007,421
9085564,-17.383356,-66.1593007,422
9085564,-17.3836114,-66.1591066,423
9085564,-17.3836114,-66.1591066,424
9085564,-17.383757,-66.1589959,425
9085564,-17.3839009,-66.1588865,426
9085564,-17.3839526,-66.1588472,427
9085564,-17.3839526,-66.1588472,428
9085564,-17.3838933,-66.1587556,429
9085564,-17.3837826,-66.1585961,430
9085564,-17.3837336,-66.1585255,431
9085564,-17.3837336,-66.1585255,432
9085564,-17.3836825,-66.1585654,433
9085564,-17.3834146,-66.1587656,434
9085564,-17.3832526,-66.1588867,435
9085564,-17.3826166,-66.159362,436
9085564,-17.3826166,-66.159362,437
9085564,-17.382554,-66.1594084,438
9085564,-17.3824824,-66.1594438,439
9085564,-17.3824824,-66.1594438,440
9085564,-17.3823658,-66.1594547,441
9085564,-17.382231,-66.1594513,442
9085564,-17.382231,-66.1594513,443
9085564,-17.3821624,-66.1594572,444
9085564,-17.3821007,-66.1594869,445
9085564,-17.3820379,-66.1595381,446
9085564,-17.3819706,-66.1596272,447
9085564,-17.3819706,-66.1596272,448
9085564,-17.3819275,-66.1597232,449
9085564,-17.3819275,-66.1597232,450
9085564,-17.3818803,-66.1598062,451
9085564,-17.3818466,-66.1598638,452
9085564,-17.3818466,-66.1598638,453
9085564,-17.3817855,-66.159926,454
9085564,-17.3817115,-66.1599741,455
9085564,-17.3816544,-66.159998,456
9085564,-17.3816544,-66.159998,457
9085564,-17.3816254,-66.1600073,458
